Judul,Konsentrasi
hubungan antara persepsi siswa tentang pemanfaatan fasilitas lab dan motivasi dengan prestasi belajar siswa smk anugrah tondano,multimedia
hubungan antara sikap dan hasil belajar siswa smp santa rosa delima tondano,undefined
"hubungan antara sikap mengajar guru, motivasi berprestasi dan hasil belajar multimedia siswa smk negeri 1 tompasobaru",multimedia
"hubungan antara status sosial ekonomi, motivasi dan hasil belajar simulasi dan komunikasi digital siswa kelas x smk negeri 1 tondano",multimedia
hubungan cara belajar dan motivasi dengan prestasi belajar teknologi informasi dan komunikasi siswa sma negeri 1 wori,undefined
hubungan disiplin belajar dan kemandirian dengan prestasi belajar siswa kelas xi smk 1 sinonsayang,undefined
hubungan disiplin belajar dan kreatifitas belajar dengan hasil belajar siswa teknologi informasi dan komunikasi smp negeri 1 tumpaan,undefined
hubungan disiplin dan minat dengan hasil belajar teknologi informasi dan komunikasi siswa kelas xi sma negeri 2 langowan,undefined
hubungan disiplin dan motivasi dengan hasil belajar teknologi informasi dan komunikasi siswa sma negeri 1 wori,undefined
hubungan displin dan motivasi berprestasi dengan hasil belajar keterampilan komputer dan pengelolaan informasi siswa smk negeri 1 tondano,tkj
hubungan fasilitas belajar dan cara belajar dengan hasil belajar siswa multimedia smk negeri 2 manado,multimedia
hubungan fasilitas belajar dan minat terhadap hasil belajar teknologi informasi dan komunikasi siswa sma kristen sonder,undefined
hubungan fasilitas dan minat dengan hasil belajar teknik komputer siswa smk negeri 3 tondano,tkj
hubungan gaya belajar dan kreativitas dengan kebiasaan belajar teknologi informasi dan komunikasi di sma negeri 1 kumelembuai,undefined
hubungan gaya belajar dan minat dengan hasil belajar teknologi informasi dan komunikasi siswa kelas xii sma negeri 1 kawangkoan,undefined
hubungan kebiasaan belajar dan motivasi berprestasi terhadap hasil belajar teknologi informasi dan komunikasi siswa vii smp negeri 1 tondano,undefined
hubungan kecerdasan emosional dan motivasi berprestasi dengan hasil belajar keterampilan komputer dan pengelolaan informasi siswa smk nusantara tondano,tkj
hubungan kecerdasan sosial dan kemandirian belajar dengan prestasi belajar siswa multimedia smk negeri 1 tondano,multimedia
hubungan kemandirian dan motivasi dengan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x adp smk negeri 1 sinonsayang,tkj
hubungan kemandiriran belajar dengan prestasi belajar siswa teknik komputer dan jaringan di sma yadika langowan,tkj
hubungan kepribadian guru dan motivasi belajar siswa dengan hasil belajar mata pelajaran produktif multimedia smk negeri 1 tondano,multimedia
"hubungan kesiapan belajar, motivasi berprestasi dan hasil belajar keterampilan komputer dan pengelolaan informasi siswa smk nusantara tondano",tkj
hubungan keterampilan mengajar guru terhadap hasil belajar mata pelajaran teknologi informasi dan komunikasi siswa kelas viii smp negeri 1 sonder,undefined
hubungan konsep diri dan minat belajar dengan hasil belajar teknologi informasi dan komunikasi siswa sma negeri 2 beo di niampak kabupaten kepulauan talaud,undefined
hubungan konsep diri dan motivasi dengan hasil belajar pemrograman web siswa kelas x smk negeri 1 ratahan,rpl
hubungan kreatifitas dan gaya belajar dasar-dasar teknik komputer dan jaringan siswa smk kelas x cokroaminoto kotamobagu,tkj
hubungan kreativitas belajar dan motivasi berprestasi dengan hasil belajar keterampilan komputer dan pengelolaan informasi siswa smk nusantara tondano,tkj
hubungan kreativitas dan fasilitas dengan prestasi belajar siswa desain komunkasi visual smk negeri 3 tondano,multimedia
hubungan kreativitas dan motivasi belajar dengan hasil belajar teknologi informasi dan komunikasi siswa sma kr. 19 damai rerer,undefined
hubungan kreativitas dan motivasi dengan hasil belajar keterampilan komputer dan pengelolaan informasi siswa smk anugrah,tkj
hubungan kreativitas dan motivasi dengan hasil belajar keterampilan komputer dan pengelolaan informasi siswa smk negeri tompaso baru,tkj
hubungan kreativitas dan motivasi terhadap hasil belajar dasar bidang keahlian simulasi digital,multimedia
hubungan kreativitas dengan prestasi belajar bidang keahlian multimedia siswa smk negeri 1 tondano,multimedia
hubungan minat belajar dengan prestasi belajar simulasi digital siswa x smk negeri 2 tondano,multimedia
hubungan minat dan keaktifan dengan hasil belajar keterampilan komputer dan pengelolaan informasi smk negeri 1 tondano,tkj
hubungan minat dan keaktifan dengan prestasi belajar teknik komputer dan jaringan siswa smk negeri 1 ratahan,tkj
hubungan minat dan kreatifitas dengan prestasi belajar kompetensi keahlian siswa kelas xi teknik komputer dan jaringan smk negeri 3 tahuna,tkj
hubungan minat dan kreativitas dengan prestasi belajar kompetensi keahlian teknik komputer dan jaringan smk negeri 1 tondano,tkj
hubungan minat dan motivasi dengan hasil belajar perakitan komputer siswa smk negeri 1 amurang,tkj
hubungan minat dan motivasi dengan hasil belajar teknik komputer dan jaringan siswa smk negeri 1 kakas,tkj
hubungan minat dengan hasil belajar keterampilan komputer dan pengelolaan informasi siswa smk,tkj
hubungan motivasi belajar dan kreatifitas belajar dengan hasil belajar teknologi informasi dan komunikasi siswa sma tinarangen niampak,undefined
hubungan motivasi berprestasi dan percaya diri dengan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x smk nusantara tondano,tkj
hubungan motivasi dan fasilitas dengan hasil belajar teknologi informasi dan komunikasi siswa smp negeri 1 motongkad,undefined
hubungan motivasi dan percaya diri dengan hasil belajar siswa kelas xii sma negeri 1 kawangkoan,undefined
hubungan motivasi dengan hasil belajar simulasi dan komunikasi digital siswa kelas x smk negeri 1 tareran,multimedia
hubungan motivasi dengan prestasi belajar siswa kelas x smk negeri 1 ratahan,undefined
hubungan motivasi orang tua dan minat dengan hasil belajar jaringan dasar siswa smk negeri 1 bitung,tkj
hubungan partisipasi dan minat dengan hasil belajar keterampilan komputer dan pengelolaan informasi siswa smk negeri 1 tondano,tkj
hubungan pemanfaatan web pembelajaran dengan hasil belajar teknologi informasi dan komunikasi siswa sma negeri 1 touluaan,rpl
hubungan pembelajaran berbasis web dan kreativitas dengan prestasi belajar siswa smk nusantara tondano,rpl
hubungan pembelajaran web dan motivasi berprestasi dengan hasil belajar teknologi informasi dan komunikasi siswa sma negeri 1 wori,rpl
hubungan penggunaan media pembelajaran dan minat belajar dengan hasil belajar siswa smk kristen kawangkoan,undefined
hubungan penggunaan media sosial dengan hasil belajar siswa di smk negeri 1 tondano,undefined
hubungan penggunaan web pembelajaran dan motivasi dengan prestasi belajar kompetensi keahlian teknik komputer dan jaringan siswa smk negeri 1 tomohon,tkj
hubungan peran orang tua dan minat dengan hasil belajar simulasi digital siswa x smk negeri 1 bitung,multimedia
hubungan perhatian orang tua dan kemandirian belajar dengan hasil belajar teknologi informasi dan komunikasi siswa smp negeri 3 pineleng,undefined
hubungan perhatian orang tua dan minat dengan hasil belajar sistem komputer siswa teknik komputer dan jaringan smk negeri 1 bitung,tkj
hubungan perhatian orang tua dan minat dengan hasil belajar siswa bidang keahlian multimedia smk negeri 1 tondano,multimedia
hubungan persepi siswa tentang kompetensi sosial guru dan motivasi belajar dengan prestasi belajar siswa jurusan teknik komputer dan jaringan smk negeri 1 tomohon,tkj
hubungan persepsi siswa tentang kompetensi pedagogik guru dengan hasil belajar sistem operasi dasar siswa smk negeri 1 langowan,tkj
hubungan persepsi siswa tentang kompetensi profesionalisme guru dan motivasi dengan prestasi belajar jaringan dasar siswa smk yadika langowan,tkj
hubungan persepsi siswa terhadap kompetensi profesional guru dan motivasi dengan prestasi belajar siswa pada mata pelajaran jaringan komputer dikelas xi n 1 amurang,tkj
hubungan persepsi tentang keterampilan mengajar guru dan disiplin dengan prestasi belajar siswa kelompok keahlian multimedia di smk negeri 1 tondano,multimedia
hubungan sikap siswa dengan hasil belajar simulasi digital di smk negeri 2 bitung,multimedia
hubungan status ekonomi keluarga dan motivasi dengan hasil belajar teknologi informasi dan komunikasi siswa smk negeri 1 tagulandang utara,undefined
implementasi teknik low light menggunakan dlsr untuk menghasilkan best praktice fotografi outdoor,multimedia
implementasi teknik low light menggunakan smartphone berbasis ios untuk menghasilkan best practice fotografi indoor,multimedia
implementasi teknik low light menggunakan smartphone untuk menghasilkan best practice fotografi outdoor,multimedia
implementasin aplikasi media pembelajaran berbasi android pada mata pelajaran animasi 2d dan 3d di smk,multimedia
kesiapan sekolah dalam penerapan e-learning di smk,undefined
mawelar mapela tumaap sumisir sebuah film dokumenter kelurahan kinali,multimedia
media pembelajaran ipa berbasis mobile bagi siswa sekolah dasar,multimedia
media pembelajaran ips berbasis mobile di sd gmim urongo,multimedia
media pembelajaran pengenalan bahasa sangihe untuk anak sekolah dasar berbasis mobile,multimedia
media pembelajaran praktikum jaringan komputer di jurusan ptik universitas negeri manado,multimedia
model pembelajaran berbasis masalah untuk meningkatkan hasil belajar pemrograman dasar siswa kelas x teknik komputer dan jaringan di smk negeri 3 tondano,rpl
model pembelajaran berbasis proyek dengan pendekatan computational thinking untuk meningkatkan hasil belajar informatika di sma,rpl
model pembelajaran blended learning untuk meningkatkan hasil belajar fotografi siswa jurusan desain komunikasi visiual di smk,multimedia
model pembelajaran quantum terhadap hasil belajar teknologi informasi dan komunikasi siswa sma kristen sonder,undefined
model pembelajaran tutorial untuk meningkatkan hasil belajar pemrograman dasar siswa smk,rpl
pemanfaatan video pembelajaran untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas xi smk negeri 1 sonder,tkj
pembelajaran problem posing untuk meningkatkan hasil belajar teknologi informasi dan komunikasi di kelas vii smp negeri 3 tataaran,undefined
pembuatan website lokasi rawan bencana alam di pulau lembeh,rpl
penerapan e-learning untuk meningkatkan hasil belajar simulasi dan komunikasi digital siswa kelas x teknik komputer dan jaringan di smk negeri 1 tomohon,tkj
penerapan m0del pembelajaran kooperatif tipe jigsaw untuk meningkatkan hasil belajar simulasi digital siswa kelas x smk negeri 1 manado,multimedia
penerapan media pembelajaran berbasis animasi untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x smk kristen 2 tomohon,tkj
penerapan media pembelajaran berbasis simulasi untuk meningkatkan hasil belajar jaringan dasar siswa smk,tkj
penerapan media pembelajaran cisco packet tracer untuk meningkatkan hasil belajar instalasi perangkat jaringan siswa kelas xi smk negeri 1 mopuya,tkj
penerapan media pembelajaran kahoot dalam meningkatkan hasil belajar foto digital siswa kelas xi dkv smk negeri 3 tondano,multimedia
penerapan media pembelajaran simulasi untuk meningkatkan hasil belajar simulasi dan komunikasi digital siswa kelas x multimedia di smk negeri 1 tumpaan,multimedia
penerapan media pembelajaran video tutorial untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas xi ipa 1 sma negeri 1 bolaang,multimedia
penerapan media pembelejaran berbasis web untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x keperawatan smk dharma bakti 1 tomohon,rpl
penerapan metode demonstrasi untuk meningkatkan hasil belajar dasar desain grafis siswa kelas x multimedia smk negeri 1 tondano,multimedia
penerapan metode demonstrasi untuk meningkatkan hasil belajar instalasi sistem operasi berbasis gui siswa kelas xi teknik komputer dan jaringan smk yadika langowan,tkj
penerapan metode demonstrasi untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x teknik komputer dan jaringan smk kristen immanuel laikit,tkj
penerapan metode demonstrasi untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas xi smk nusantara tondano,tkj
penerapan metode demonstrasi untuk meningkatkan hasil belajar pada teknik komputer dan jaringan siswa kelas xi teknik komputer dan jaringan smk negeri 1 tagulandang selatan,tkj
penerapan metode demonstrasi untuk meningkatkan hasil belajar perakitan komputer siswa kelas x teknik komputer dan jaringan smk kristen immanuel minahasa utara,tkj
penerapan metode demonstrasi untuk meningkatkan hasil belajar perawatan pc kelas x teknik komputer dan jaringan smk negeri 2 manado.,tkj
penerapan metode demonstrasi untuk meningkatkan hasil belajar sistem operasi siswa kelas x teknik komputer dan jaringan smk negeri 4 manado,tkj
penerapan metode demonstrasi untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas vii smp advent tondano,undefined
penerapan metode demonstrasi untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas vii smp kristen nafiri manado,undefined
penerapan metode demonstrasi untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas viii smp negeri iv tompaso baru,undefined
penerapan metode demonstrasi untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas x sma negeri 3 bitung.,undefined
penerapan metode eksperimen untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas viii smk negeri i tondano,undefined
penerapan metode eksperimen untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas xii sma negeri 1 remboken,undefined
"penerapan metode pembelajaran ""improve"" untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x multimedia b smk negeri 1 tondano",tkj
penerapan metode pembelajaran demonstrasi terhadap hasil belajar siswa pada materi perakitan komputer kelas x di smk negeri 1 tareran,tkj
penerapan metode pembelajaran demonstrasi untuk meningkakan hasil belajar desain grafis percetakan siswa smk,multimedia
penerapan metode pembelajaran demonstrasi untuk meningkatkan hasil belajar animasi 2d pada siswa smk,multimedia
penerapan metode pembelajaran demonstrasi untuk meningkatkan hasil belajar instalasi sistem operasi siswa kelas x smk negeri 1 luwuk,tkj
penerapan metode pembelajaran demonstrasi untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x smk anugrah tondano,tkj
penerapan metode pembelajaran demonstrasi untuk meningkatkan hasil belajar merakit pc siswa kelas x smk negeri 1 mopuya,tkj
penerapan metode pembelajaran demonstrasi untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas viii smp berea tondano,undefined
penerapan metode pembelajaran demonstrasi untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas x sma negeri 1 tenga,undefined
penerapan metode pembelajaran demontrasi untuk meningkatkan hasil belajar merakit komputer siswa kelas x teknik komputer dan jaringan di smk negeri 1 ratahan,tkj
penerapan metode pembelajaran discovery learning untuk meningkatkan hasil belajar desain grafis siswa kelas x teknik komputer dan jaringan smk kristen kawangkoan,multimedia
penerapan metode pembelajaran modeling untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas ix smp 6 passo,undefined
penerapan metode pembelajaran problem solving untuk peningkatan hasil belajar pemodelan perangkat lunak siswa smk,rpl
penerapan metode pembelajaran reciprocal teaching untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x smk bina karya tobelo,tkj
penerapan metode pembelajaran tutor sebaya untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas xi sma ypk 2 maranatha sorong,undefined
penerapan metode tutor sebaya untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas vii smp el-shaday manado,undefined
penerapan metode tutor sebaya untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas x smk negeri 2 bitung,undefined
penerapan model blended learning untuk meningkatkan hasil belajar komputer dan jaringan dasar siswa kelas x teknik komputer dan jaringan 2 smk negeri 1 tomohon,tkj
penerapan model computer assisted instruction untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas xi teknik komputer dan jaringan smk yadika langowan,tkj
penerapan model demonstrasi untuk meningkatkan hasil belajar simulasi dan komunikasi digital siswa x teknik komputer dan jaringan 1 di smk negeri 3 tondano,multimedia
penerapan model demonstrasi untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas x sma pgri poigar,undefined
penerapan model demonstrasi untuk meningkatkan hasil perakitan komputer siswa kelas x teknik komputer dan jaringan smk negeri 1 amurang,tkj
penerapan model discovery learning untuk meningkatkan hasil belajar komputer dan jaringan dasar siswa kelas x smk negeri 1 modoinding,tkj
penerapan model explicit instruction untuk meningkatkan hasil belajar sistem operasi siswa kelas xii smk negeri 1 motoling timur,tkj
penerapan model explicit instruction untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas xii ipa sma kristen 1 tomohon,undefined
penerapan model konstruktivisme untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x smk kristen 2 tomohon,tkj
penerapan model kooperatif tipe teams games tournament (tgt) dalam meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas x smk berea tondano,undefined
penerapan model pembelajaran berbasis komputer tipe drills terhadap hasil belajar siswa kelas x teknik audio dan video smk negeri 3 tahuna,multimedia
penerapan model pembelajaran berbasis komputer untuk meningkatkan hasil belajar siswa kelas x.d sma negeri 1 kawangkoaan,undefined
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar administrasi infrastruktur jaringan siswa kelas xi teknik komputer dan jaringan smk cokroaminoto kotamobagu,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar desain komunikasi visual siswa kelas x smk negeri 1 langowan,multimedia
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar informatika siswa kelas x sma negeri 2 tondano,rpl
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar informatika siswa kelas x teknik komputer dan jaringan smk negeri 5 manado,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar jaringan dasar siswa kelas x smk anugrah tondano,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar jaringan dasar siswa kelas x teknik komputer dan jaringan smk dharma bakti tomohon,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar jaringan dasar siswa kelas x teknik komputer dan jaringan smk kr. ypkm manado,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x smk bina karya tobelo,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas xa teknik komputer dan jaringan smk nusantara tobelo,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar komputer dan jaringan dasar siswa kelas x teknik komputer dan jaringan smk negeri 1 kakas,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar komputer dan jaringan dasar siswa kelas x teknik komputer dan jaringan smk negeri 1 kakas,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar komputer dan jaringan dasar siswa smk anugrah tondano,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar komputer jaringan dasar siswa smk,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar pemrograman dasar siswa smk,rpl
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar simulasi dan komunikasi digital siswa kelas x di smk negeri 1 tondano,multimedia
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar simulasi dan komunikasi digital siswa kelas x smk negeri 1 ratahan,multimedia
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar simulasi dan komunikasi digital siswa smk,multimedia
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar simulasi digital kelas x teknik komputer dan jaringan 1 smk negeri 3 manado,multimedia
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar simulasi digital siswa kelas x smk negeri 3 tondano,multimedia
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar sistem komputer kelas x smk negeri 1 motoling timur,rpl
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar sistem komputer siswa kelas x teknik komputer dan jaringan a smk negeri 1 amurang,rpl
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar sistem operasi siswa kelas x teknik komputer dan jaringan 1 di smk kristen 1 tomohon,tkj
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa ix b smp negeri 1 kumelembuai,undefined
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas vii-a smp berea tondano,undefined
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas viii smp negeri 1 sonder,undefined
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas viii smp negeri 2 touluaan selatan,rpl
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas x sma negeri 1 remboken,undefined
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa kelas x sma negeri 1 tenga,undefined
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil belajar teknologi informasi dan komunikasi siswa x smk kristen tomohon,undefined
penerapan model pembelajaran berbasis masalah untuk meningkatkan hasil teknologi informasi dan komunikasi siswa kelas x sam kristen 19 damai rerer,undefined
penerapan model pembelajaran berbasis projek untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x multimedia smk negeri 3 tondano,multimedia
penerapan model pembelajaran berbasis proyek (project based learning) meningkatkan motivasi dan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas xi administrasi perkantoran smk kristen kawangkoan,rpl
penerapan model pembelajaran berbasis proyek terhadap hasil belajar pemrograman web siswa kelas x teknik komputer dan jaringan smk negeri 1 siau timur,rpl
penerapan model pembelajaran berbasis proyek untuk meningatkan hasil belajar teknologi informasi dan komunikasi siswa kelas viii smp berea tondano,undefined
penerapan model pembelajaran berbasis proyek untuk meningkatkan hasil belajar  jaringan dasar siswa kelas v teknik komputer dan jaringan smk kristen imanuel minahasa utara,tkj
penerapan model pembelajaran berbasis proyek untuk meningkatkan hasil belajar dasar-dasar desain komunikasi visual kelas x dkv smk citra bangsa jakarta,multimedia
penerapan model pembelajaran berbasis proyek untuk meningkatkan hasil belajar desain grafis percetakan siswa smk,multimedia
penerapan model pembelajaran berbasis proyek untuk meningkatkan hasil belajar desain grafis siswa kelas x multimedia smk negeri 1 ratahan,multimedia
penerapan model pembelajaran berbasis proyek untuk meningkatkan hasil belajar informatika siswa kelas x.1 sma negeri 1 lembean timur,rpl
penerapan model pembelajaran berbasis proyek untuk meningkatkan hasil belajar informatika siswa smk,rpl
penerapan model pembelajaran berbasis proyek untuk meningkatkan hasil belajar jaringan komputer siswa kelas x teknik komputer dan jaringan smk negeri 1 tomohon,tkj
penerapan model pembelajaran berbasis proyek untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas x perkantoran smk kezia lolak,rpl
penerapan model pembelajaran berbasis proyek untuk meningkatkan hasil belajar keterampilan komputer dan pengelolaan informasi siswa kelas xi smk negeri 1 tondano.,undefined
